timeseries_code,date,value
SFRH5,2025-01-28,95.785
SFRH5,2025-01-29,95.755
SFRH5,2025-01-28,95.785
SFRH5,2025-01-29,95.755
SFRH5,2025-03-18,95.6825
SFRH5,2025-03-19,95.685
SFRZ5,2025-01-28,96.115
SFRZ5,2025-01-29,96.09
SFRZ5,2025-01-28,96.115
SFRZ5,2025-01-29,96.09
SFRZ5,2025-03-18,96.23
SFRZ5,2025-03-19,96.19
SFRM5,2025-01-28,95.95
SFRM5,2025-01-29,95.915
SFRM5,2025-03-18,95.87
SFRM5,2025-03-19,95.845
SFRU5,2025-01-28,96.06
SFRU5,2025-01-29,96.025
SFRU5,2025-03-18,96.08
SFRU5,2025-03-19,96.04
SFRZ6,2025-01-28,96.08
SFRZ6,2025-01-29,96.07
SFRZ6,2025-03-18,96.415
SFRZ6,2025-03-19,96.36
